cuce,list_n,tipo_a,monto_a,tipo_b,monto_b,tipo_c,monto_c
21-1412-00-1182752-1-1,2251,Total Referencial:,71240,Total Adjudicado:,70692,Total Recepcionado:,70692
20-1604-00-1046828-0-E,2252,Total Adjudicado:,469300,Total Recepcionado:,469300,,
21-0418-07-1140911-1-1,2253,Total Referencial:,420000,Total Adjudicado:,419300,Total Recepcionado:,419300
20-1326-00-1054054-1-1,2254,Total Referencial:,60000,Total Adjudicado:,35000,Total Recepcionado:,35000
21-0661-00-1179591-1-1,2255,Total Referencial:,45000,Total Recepcionado:,33750,,
20-3701-00-1091083-1-1,2256,Total Referencial:,199965,Total Adjudicado:,198445,Total Recepcionado:,198445
20-1218-00-1095164-1-1,2257,Total Referencial:,42000,Total Recepcionado:,42000,,
20-1508-00-1048357-0-E,2258,Total Adjudicado:,22760,Total Recepcionado:,22760,,
20-1306-00-1039686-0-E,2259,Total Adjudicado:,55000,Total Recepcionado:,55000,,
21-0046-00-1165538-2-1,2260,Total Referencial:,196950,Total Adjudicado:,190890,Total Recepcionado:,190890
20-0906-00-1043866-0-E,2261,Total Adjudicado:,621566,,,,
20-1306-00-1040448-0-E,2262,Total Adjudicado:,126350,Total Recepcionado:,126350,,
20-1601-00-1093781-1-1,2263,Total Referencial:,49250,Total Recepcionado:,37250,,
20-1310-00-1039773-0-E,2264,Total Adjudicado:,49990,Total Recepcionado:,49990,,
20-0660-12-1051697-0-E,2265,Total Adjudicado:,10573.5,Total Recepcionado:,10573.5,,
20-1305-00-1040976-0-E,2266,Total Adjudicado:,48000,Total Recepcionado:,48000,,
20-0411-00-1064622-1-1,2267,Total Referencial:,260000,Total Adjudicado:,260000,Total Recepcionado:,260000
21-0660-12-1167277-1-1,2268,Total Referencial:,27950,Total Recepcionado:,10123,,
20-1605-00-1052088-0-E,2269,Total Adjudicado:,36000,Total Recepcionado:,36000,,
20-0046-31-1052035-0-E,2270,Total Adjudicado:,29320,Total Recepcionado:,29320,,
20-0903-00-1088310-1-1,2271,Total Referencial:,196570,Total Adjudicado:,158480,Total Recepcionado:,158480
20-1305-00-1038255-0-E,2272,Total Adjudicado:,46000,Total Recepcionado:,46000,,
20-0382-00-1040822-0-E,2273,Total Adjudicado:,360000,,,,
20-1601-00-1089343-1-1,2274,Total Referencial:,99996,Total Adjudicado:,74997,Total Recepcionado:,74997
20-1434-00-1077851-1-1,2275,Total Referencial:,370556,Total Adjudicado:,370203,Total Recepcionado:,370203
20-1434-00-1077851-1-1,2275,Total Referencial:,22372,Total Adjudicado:,22015,Total Recepcionado:,22015
20-0906-00-1043874-0-E,2276,Total Adjudicado:,944160,Total Recepcionado:,944160,,
20-1306-00-1043587-0-E,2277,Total Adjudicado:,39604.77,Total Recepcionado:,39604.77,,
20-1120-00-1076103-1-1,2278,Total Referencial:,1129621,Total Adjudicado:,1128996.9,Total Recepcionado:,1128996.9
20-1306-00-1060868-1-1,2279,Total Referencial:,393325,Total Adjudicado:,153340,Total Recepcionado:,153340
20-0660-12-1080429-1-1,2280,Total Referencial:,46000,Total Recepcionado:,43728,,
20-1515-00-1087308-1-1,2281,Total Referencial:,45655,Total Recepcionado:,45655,,
20-1305-00-1038887-0-E,2282,Total Adjudicado:,1186400,,,,
20-0906-00-1041376-0-E,2283,Total Adjudicado:,482500,Total Recepcionado:,482500,,
20-1508-00-1048494-0-E,2284,Total Adjudicado:,27450,Total Recepcionado:,27450,,
20-1601-00-1091188-1-1,2285,Total Referencial:,50000,Total Recepcionado:,19375,,
20-1306-00-1049704-0-E,2286,Total Adjudicado:,39950,Total Recepcionado:,39950,,
20-0660-12-1050716-0-E,2287,Total Adjudicado:,24546.4,Total Recepcionado:,24546.4,,
20-1907-00-1081054-1-1,2288,Total Referencial:,400958.25,Total Recepcionado:,399500.22000000003,,
21-1755-00-1130958-1-1,2289,Total Referencial:,35614.8,Total Recepcionado:,25342.480000000003,,
20-0903-00-1088302-1-1,2290,Total Referencial:,48600,Total Recepcionado:,46170,,
20-1701-00-1039578-0-E,2291,Total Adjudicado:,31640,Total Recepcionado:,31640,,
21-0139-00-1120888-1-1,2292,Total Referencial:,50000,Total Recepcionado:,45000,,
20-1515-00-1088556-1-1,2293,Total Referencial:,367500,Total Recepcionado:,367500,,
20-1601-00-1091152-1-1,2294,Total Referencial:,50000,Total Recepcionado:,19375,,
20-1305-00-1038246-0-E,2295,Total Adjudicado:,45000,Total Recepcionado:,45000,,
21-1412-00-1187579-1-1,2296,Total Referencial:,26000,Total Recepcionado:,26000,,
20-1306-00-1039137-0-E,2297,Total Adjudicado:,69300,Total Recepcionado:,69300,,
21-0951-00-1128584-1-1,2298,Total Referencial:,49910,Total Recepcionado:,36890,,
20-1338-00-1094118-1-1,2299,Total Referencial:,187935,Total Adjudicado:,183513,Total Recepcionado:,183513
20-1810-00-1040407-0-E,2300,Total Adjudicado:,25130,,,,
20-0906-00-1039738-0-E,2301,Total Adjudicado:,800000,Total Recepcionado:,800000,,
20-0906-00-1041229-0-E,2303,Total Adjudicado:,437500,Total Recepcionado:,437500,,
20-1306-00-1051435-0-E,2304,Total Adjudicado:,27000,Total Recepcionado:,27000,,
20-1701-00-1039214-0-E,2305,Total Adjudicado:,23140,Total Recepcionado:,23140,,
20-0411-00-1084525-1-1,2306,Total Referencial:,25000,Total Recepcionado:,25000,,
20-0418-11-1038096-0-E,2307,Total Adjudicado:,33565,Total Recepcionado:,33565,,
20-1306-00-1044118-0-E,2308,Total Adjudicado:,25376,Total Recepcionado:,25376,,
20-0660-08-1040877-0-E,2309,Total Adjudicado:,23284.05,Total Recepcionado:,23284.05,,
21-1334-00-1146280-1-1,2310,Total Referencial:,96768.05,Total Adjudicado:,88820,Total Recepcionado:,88820
20-1306-00-1060807-1-1,2311,Total Referencial:,983342,Total Adjudicado:,584500,Total Recepcionado:,584500
20-0418-11-1046851-0-E,2312,Total Adjudicado:,28140,Total Recepcionado:,28140,,
20-1310-00-1039798-0-E,2313,Total Adjudicado:,37500,Total Recepcionado:,37500,,
20-0906-00-1042662-0-E,2314,Total Adjudicado:,522000,Total Recepcionado:,522000,,
21-1412-00-1182864-1-1,2315,Total Referencial:,132000,Total Adjudicado:,132000,,
21-1412-00-1182489-2-1,2316,Total Referencial:,139500,Total Adjudicado:,139500,,
20-1306-00-1050365-0-E,2317,Total Adjudicado:,24655,Total Recepcionado:,24655,,
20-1257-00-1060099-2-1,2318,Total Referencial:,149512,Total Adjudicado:,149072,Total Recepcionado:,149072
20-0906-00-1048282-0-E,2319,Total Adjudicado:,425000,Total Recepcionado:,425000,,
20-0906-00-1044247-0-E,2321,Total Adjudicado:,49400,Total Recepcionado:,49400,,
20-0906-00-1046824-0-E,2322,Total Adjudicado:,850000,Total Recepcionado:,850000,,
20-1126-00-1056288-2-1,2323,Total Referencial:,279994,Total Adjudicado:,258394,Total Recepcionado:,258394
20-1314-00-1093367-1-1,2324,Total Referencial:,34200,Total Recepcionado:,34200,,
20-1214-00-1042980-0-E,2325,Total Adjudicado:,48000,Total Recepcionado:,48000,,
20-1604-00-1046799-0-E,2326,Total Adjudicado:,494450,Total Recepcionado:,494450,,
20-1515-00-1086688-1-1,2327,Total Referencial:,365400,Total Recepcionado:,365400,,
20-1255-00-1048042-0-E,2328,Total Adjudicado:,34105,Total Recepcionado:,34105,,
20-1218-00-1095095-1-1,2329,Total Referencial:,29370,Total Recepcionado:,29370,,
20-0903-00-1079919-1-1,2330,Total Referencial:,37584,Total Recepcionado:,36500,,
20-1431-00-1085909-1-1,2331,Total Referencial:,478495,Total Recepcionado:,355124,,
20-0418-07-1056076-1-1,2332,Total Referencial:,999800,Total Adjudicado:,58200,Total Recepcionado:,58200
20-1605-00-1038840-0-E,2333,Total Adjudicado:,419084.31,Total Recepcionado:,419084.31,,
21-0423-00-1117348-1-1,2334,Total Referencial:,49990,Total Recepcionado:,49990,,
20-1329-00-1086740-1-1,2335,Total Referencial:,159885,Total Recepcionado:,159885,,
20-0906-00-1039590-0-E,2336,Total Adjudicado:,431100,Total Recepcionado:,431100,,
20-1707-00-1049226-0-E,2337,Total Adjudicado:,86400,Total Recepcionado:,86400,,
21-1412-00-1182340-1-1,2338,Total Referencial:,241230,Total Adjudicado:,241230,Total Recepcionado:,241230
21-1412-00-1182340-1-1,2338,Total Referencial:,148824,Total Adjudicado:,125928,Total Recepcionado:,125928
21-1412-00-1182340-1-1,2338,Total Referencial:,8294,Total Adjudicado:,7656,Total Recepcionado:,7656
20-1119-00-1089146-1-1,2339,Total Referencial:,252125,Total Adjudicado:,246105,Total Recepcionado:,246105
20-1604-00-1046568-0-E,2340,Total Adjudicado:,126400,,,,
20-0906-00-1079395-1-1,2341,Total Referencial:,249000,Total Recepcionado:,249000,,
20-1712-00-1097015-1-1,2342,Total Referencial:,30900,Total Recepcionado:,27450,,
20-1515-00-1088559-1-1,2343,Total Referencial:,23736,Total Recepcionado:,23736,,
20-0660-12-1050737-0-E,2344,Total Adjudicado:,21465,Total Recepcionado:,21465,,
20-1306-00-1049697-0-E,2345,Total Adjudicado:,48900,Total Recepcionado:,48900,,
20-1601-00-1047352-0-E,2346,Total Adjudicado:,50000,,,,
20-1508-00-1048342-0-E,2347,Total Adjudicado:,24575,Total Recepcionado:,24575,,
21-0025-00-1140805-1-1,2348,Total Referencial:,40000,Total Recepcionado:,39999,,
20-1342-00-1089142-1-1,2349,Total Referencial:,347251,Total Adjudicado:,346961.2,Total Recepcionado:,346961.2
20-1601-00-1093785-1-1,2350,Total Referencial:,49918,Total Recepcionado:,29497,,
20-1810-00-1045081-0-E,2351,Total Adjudicado:,26000,,,,
20-1305-00-1047752-0-E,2352,Total Adjudicado:,31020,Total Recepcionado:,31020,,
20-1306-00-1039682-0-E,2353,Total Adjudicado:,171140,Total Recepcionado:,171140,,
20-1218-00-1095515-1-1,2354,Total Referencial:,24000,Total Recepcionado:,24000,,
20-0908-36-1075749-1-1,2355,Total Referencial:,498320,Total Adjudicado:,336570.2,Total Recepcionado:,
20-1120-00-1076029-1-1,2356,Total Referencial:,1079846,Total Adjudicado:,1032118,Total Recepcionado:,1032118
20-1103-00-1044717-0-E,2357,Total Adjudicado:,30250,Total Recepcionado:,30250,,
20-1310-00-1080793-1-1,2358,Total Referencial:,528960,Total Adjudicado:,528960,Total Recepcionado:,528960
20-1810-00-1040287-0-E,2359,Total Adjudicado:,47915,,,,
20-1302-00-1038010-0-E,2360,Total Adjudicado:,49965,Total Recepcionado:,49965,,
20-1601-00-1041948-0-E,2361,Total Adjudicado:,46200,Total Recepcionado:,46200,,
20-1201-00-1046786-0-E,2362,Total Adjudicado:,49500,,,,
21-0046-28-1162984-1-1,2363,Total Referencial:,48540,Total Recepcionado:,24150,,
21-0203-00-1105524-1-1,2364,Total Referencial:,9570,Total Recepcionado:,44261,,
21-0203-00-1105524-1-1,2364,Total Referencial:,1000,Total Recepcionado:,18750,,
21-0203-00-1105524-1-1,2364,Total Referencial:,4200,Total Recepcionado:,1676,,
21-0203-00-1105524-1-1,2364,Total Referencial:,,,,,
20-0902-01-1047718-0-E,2365,Total Adjudicado:,49950,Total Recepcionado:,49950,,
21-0417-07-1115820-1-1,2366,Total Referencial:,49950,Total Recepcionado:,37740,,
20-0901-02-1097096-1-1,2367,Total Referencial:,98406,Total Recepcionado:,98406,,
20-1115-00-1080963-1-1,2368,Total Referencial:,49999.94,Total Recepcionado:,49999.94,,
20-0203-00-1040738-0-E,2369,Total Adjudicado:,38270,Total Recepcionado:,38270,,
20-1312-00-1041320-0-E,2370,Total Adjudicado:,49150,Total Recepcionado:,49150,,
20-1272-00-1042495-0-E,2371,Total Adjudicado:,38757,Total Recepcionado:,38757,,
20-1109-00-1053980-1-1,2372,Total Referencial:,199175.53,Total Adjudicado:,197880.99,Total Recepcionado:,197880.99
21-0423-00-1157062-1-1,2373,Total Referencial:,56000,Total Adjudicado:,55600,Total Recepcionado:,55600
20-1347-00-1080799-1-1,2374,Total Referencial:,60125,Total Adjudicado:,59884.5,Total Recepcionado:,59884.5
21-1335-00-1142412-1-1,2375,Total Referencial:,49055,Total Recepcionado:,49010,,
20-1604-00-1092532-1-1,2376,Total Referencial:,107822,Total Recepcionado:,47784,,
20-1523-00-1086762-1-1,2377,Total Referencial:,204830,Total Adjudicado:,178960,Total Recepcionado:,197560
20-1328-00-1062783-1-1,2378,Total Referencial:,120000,Total Adjudicado:,95390.5,Total Recepcionado:,95390.5
20-1208-00-1089519-1-1,2379,Total Referencial:,433100,Total Adjudicado:,430570,Total Recepcionado:,430570
20-0905-00-1043488-0-E,2380,Total Adjudicado:,352263,Total Recepcionado:,352263,,
20-0781-00-1065082-1-1,2381,Total Referencial:,607169.16,Total Adjudicado:,95333.76,Total Recepcionado:,95333.76
20-0417-02-1049425-0-E,2382,Total Adjudicado:,46486.24,Total Recepcionado:,46486.24,,
20-0147-00-1086393-1-1,2383,Total Referencial:,3857,Total Adjudicado:,3857,Total Recepcionado:,3857
20-0147-00-1086393-1-1,2383,Total Referencial:,24717,Total Adjudicado:,23317,Total Recepcionado:,23317
20-0147-00-1086393-1-1,2383,Total Referencial:,301570,Total Adjudicado:,,,
20-0147-00-1086393-1-1,2383,Total Referencial:,54425,Total Adjudicado:,,,
20-0147-00-1086393-1-1,2383,Total Referencial:,54496.89,Total Adjudicado:,,,
20-1228-00-1086369-1-1,2384,Total Referencial:,49934.92,Total Recepcionado:,49934.92,,
21-0513-00-1152517-1-1,2385,Total Referencial:,51008,Total Adjudicado:,17425,Total Recepcionado:,17425
20-0046-28-1051122-0-E,2386,Total Adjudicado:,800000,Total Recepcionado:,800000,,
20-0901-02-1047799-0-E,2387,Total Adjudicado:,801150,Total Recepcionado:,801150,,
20-1604-00-1046754-0-E,2388,Total Adjudicado:,28500,,,,
20-1201-00-1052612-0-E,2389,Total Adjudicado:,49986,,,,
20-1701-00-1042311-0-E,2390,Total Adjudicado:,57000,Total Recepcionado:,57000,,
20-1260-00-1038273-0-E,2391,Total Adjudicado:,32197.8,Total Recepcionado:,32197.8,,
20-0418-03-1045659-0-E,2392,Total Adjudicado:,36000,Total Recepcionado:,36000,,
20-1201-00-1086086-1-1,2393,Total Referencial:,50000,Total Recepcionado:,50000,,
20-1312-00-1097726-1-1,2394,Total Referencial:,45207,Total Recepcionado:,45207,,
20-1749-00-1083520-1-1,2395,Total Referencial:,56700,Total Recepcionado:,56700,,
21-0138-00-1126206-1-1,2396,Total Referencial:,49500,Total Recepcionado:,49500,,
21-0142-00-1151480-1-1,2397,Total Referencial:,50000,Total Recepcionado:,32000,,
20-1731-00-1098806-1-1,2398,Total Referencial:,47100,Total Recepcionado:,33000,,
20-0781-00-1082240-1-1,2399,Total Referencial:,58000,Total Adjudicado:,49800,Total Recepcionado:,49800
20-1604-00-1044713-0-E,2400,Total Adjudicado:,285004,Total Recepcionado:,285004,,
21-1302-00-1118238-1-1,2401,Total Referencial:,45132.5,Total Recepcionado:,44585,,
20-1315-00-1049247-0-E,2402,Total Adjudicado:,45000,,,,
20-1303-00-1047204-0-E,2403,Total Adjudicado:,49980,Total Recepcionado:,49980,,
20-1604-00-1043078-0-E,2404,Total Adjudicado:,67320,,,,
20-0411-00-1076866-1-1,2405,Total Referencial:,9500000,Total Recepcionado:,9500000,,
20-1604-00-1039720-0-E,2406,Total Adjudicado:,400000,,,,
20-0903-00-1038476-0-E,2407,Total Adjudicado:,30000,Total Recepcionado:,30000,,
20-0138-00-1077481-1-2,2408,Total Referencial:,156000,Total Adjudicado:,74880,Total Recepcionado:,74880
20-1280-00-1047959-0-E,2409,Total Adjudicado:,42700,Total Recepcionado:,42700,,
20-1306-00-1056240-1-1,2410,Total Referencial:,275000,Total Adjudicado:,271500,Total Recepcionado:,271500
21-1201-00-1176460-1-1,2411,Total Referencial:,45000,Total Recepcionado:,45000,,
20-1342-00-1088324-1-1,2412,Total Referencial:,40900,Total Recepcionado:,40900,,
21-0417-06-1158825-1-1,2413,Total Referencial:,175000,Total Adjudicado:,140000,Total Recepcionado:,140000
20-0411-00-1042017-0-E,2414,Total Adjudicado:,206250,Total Recepcionado:,206250,,
21-0903-00-1163718-1-1,2415,Total Referencial:,169282,Total Adjudicado:,169282,Total Recepcionado:,169282
20-1266-00-1092098-1-1,2416,Total Referencial:,49500,Total Recepcionado:,28000,,
20-1807-00-1094652-1-1,2417,Total Referencial:,20800,Total Recepcionado:,7992,,
20-0902-39-1097233-1-1,2418,Total Referencial:,36000,Total Recepcionado:,36000,,
20-1734-00-1094174-2-1,2419,Total Referencial:,200000,Total Adjudicado:,196800,Total Recepcionado:,196800
21-1347-00-1107313-1-1,2420,Total Referencial:,36377,Total Recepcionado:,34782,,
20-0902-43-1041459-0-E,2421,Total Adjudicado:,34305,Total Recepcionado:,34305,,
20-0417-01-1088584-1-1,2422,Total Referencial:,98000,Total Recepcionado:,41475,,
20-1810-00-1046870-0-E,2423,Total Adjudicado:,33000,Total Recepcionado:,33000,,
21-1328-00-1119859-1-1,2424,Total Referencial:,31800,Total Recepcionado:,23316,,
20-1905-00-1038031-0-E,2425,Total Adjudicado:,88590,,,,
20-1734-00-1048310-0-E,2426,Total Adjudicado:,103500,Total Recepcionado:,103500,,
21-1519-00-1109664-1-1,2427,Total Referencial:,49500,Total Recepcionado:,34650,,
21-1201-14-1131961-1-1,2428,Total Referencial:,,,,,
20-0417-01-1052230-0-E,2429,Total Adjudicado:,40000,Total Recepcionado:,40000,,
20-0903-00-1039247-0-E,2430,Total Adjudicado:,174864,Total Recepcionado:,174864,,
21-0907-00-1118456-1-1,2431,Total Referencial:,205000,Total Adjudicado:,188600,Total Recepcionado:,188600
20-1734-00-1094190-2-1,2432,Total Referencial:,200000,Total Adjudicado:,196800,Total Recepcionado:,196800
20-0411-00-1090125-1-1,2433,Total Referencial:,27000,Total Recepcionado:,22500,,
20-1201-18-1040587-0-E,2434,Total Adjudicado:,171000,Total Recepcionado:,171000,,
20-1201-00-1045149-0-E,2435,Total Adjudicado:,24000,Total Recepcionado:,24000,,
21-0513-00-1146338-1-1,2436,Total Referencial:,188520,Total Adjudicado:,129690,Total Recepcionado:,129690
21-1335-00-1112650-1-1,2437,Total Referencial:,49500,Total Recepcionado:,37125,,
20-0902-43-1038906-0-E,2438,Total Adjudicado:,44812.8,Total Recepcionado:,44812.8,,
21-0903-00-1183714-1-1,2439,Total Referencial:,23410,Total Recepcionado:,23410,,
21-0046-22-1151621-1-1,2441,Total Referencial:,47866.7,Total Recepcionado:,47866.7,,
20-0909-00-1038632-0-E,2442,Total Adjudicado:,600000,Total Recepcionado:,600000,,
21-1302-00-1109815-1-1,2444,Total Referencial:,49999.1,Total Recepcionado:,49049.75,,
20-1301-00-1042698-0-E,2445,Total Adjudicado:,40000,Total Recepcionado:,40000,,
20-1201-00-1090316-1-1,2446,Total Referencial:,49950,Total Recepcionado:,49950,,
20-1301-00-1044853-0-E,2447,Total Adjudicado:,46012,,,,
21-0417-06-1120950-1-1,2448,Total Referencial:,48779,Total Recepcionado:,48779,,
20-1434-00-1100781-1-1,2449,Total Referencial:,40500,Total Recepcionado:,40500,,
21-0025-00-1163790-1-1,2450,Total Referencial:,40000,Total Recepcionado:,40000,,
20-1734-00-1046540-0-E,2451,Total Adjudicado:,23200,Total Recepcionado:,23200,,
20-0909-00-1039136-0-E,2452,Total Adjudicado:,76240,Total Recepcionado:,76240,,
21-1325-00-1184876-1-1,2453,Total Referencial:,146142,Total Adjudicado:,143484,Total Recepcionado:,143484
21-1301-00-1137297-1-1,2454,Total Referencial:,49986,Total Recepcionado:,26381.5,,
20-1301-00-1095178-1-1,2455,Total Referencial:,71520,Total Recepcionado:,38024.8,,
21-0902-43-1163069-2-1,2456,Total Referencial:,142560,Total Adjudicado:,142553.97999999998,Total Recepcionado:,142553.97999999998
20-0903-00-1090118-1-1,2457,Total Referencial:,48000,Total Recepcionado:,48000,,
20-0418-07-1042253-0-E,2458,Total Adjudicado:,220740,Total Recepcionado:,220740,,
21-1201-00-1174021-1-1,2459,Total Referencial:,49350,Total Recepcionado:,35700,,
21-1101-00-1176644-1-1,2460,Total Referencial:,49999.59,Total Recepcionado:,39999,,
21-1412-00-1183521-1-1,2461,Total Referencial:,56000,Total Adjudicado:,56000,Total Recepcionado:,56000
20-1610-00-1038456-0-E,2462,Total Adjudicado:,45500,Total Recepcionado:,45500,,
20-1604-00-1042682-0-E,2463,Total Adjudicado:,684723,,,,
20-1711-00-1048569-0-E,2464,Total Adjudicado:,47550,Total Recepcionado:,47550,,
20-1206-00-1091679-1-1,2465,Total Referencial:,56500,Total Recepcionado:,56500,,
20-0139-00-1083382-1-1,2466,Total Referencial:,42000,Total Recepcionado:,42000,,
20-1734-00-1094208-1-1,2467,Total Referencial:,200000,Total Adjudicado:,199872,Total Recepcionado:,199872
20-0417-06-1075234-1-1,2468,Total Referencial:,102680,Total Adjudicado:,102680,Total Recepcionado:,102680
20-1312-00-1049624-0-E,2469,Total Adjudicado:,41520,Total Recepcionado:,41520,,
20-1201-00-1048385-0-E,2470,Total Adjudicado:,49720,,,,
20-1519-00-1044092-0-E,2471,Total Adjudicado:,22000,Total Recepcionado:,22000,,
20-0417-07-1083841-1-1,2472,Total Referencial:,30000,Total Recepcionado:,30000,,
20-0906-00-1041232-0-E,2473,Total Adjudicado:,225000,Total Recepcionado:,225000,,
20-1324-00-1043951-0-E,2474,Total Adjudicado:,27090,Total Recepcionado:,27090,,
21-0903-00-1182439-1-1,2475,Total Referencial:,49993.86,Total Recepcionado:,49993.86,,
20-1324-00-1083134-1-1,2476,Total Referencial:,63500,Total Recepcionado:,50050,,
21-1325-00-1179450-1-1,2477,Total Referencial:,177037.2,Total Adjudicado:,105353.5,Total Recepcionado:,105353.5
20-1329-00-1077246-1-1,2478,Total Referencial:,457388.89,Total Recepcionado:,457388.89,,
20-1529-00-1089227-1-1,2479,Total Referencial:,311095,Total Adjudicado:,281721,Total Recepcionado:,281721
20-0902-01-1047694-0-E,2480,Total Adjudicado:,49980,Total Recepcionado:,49980,,
21-1228-00-1115799-1-1,2481,Total Referencial:,48939.09,Total Recepcionado:,48939.09,,
20-0901-00-1083913-1-1,2482,Total Referencial:,999810,Total Adjudicado:,966006.9,Total Recepcionado:,966006.9
20-1334-00-1057982-2-1,2483,Total Referencial:,73600,Total Adjudicado:,14400,Total Recepcionado:,14400
21-0423-00-1151970-1-1,2484,Total Referencial:,30398,Total Recepcionado:,30348.4,,
21-1601-00-1112057-1-1,2485,Total Referencial:,49500,Total Recepcionado:,36000,,
21-0417-06-1153532-2-1,2486,Total Referencial:,115000,Total Adjudicado:,97000,Total Recepcionado:,97000
20-1118-00-1086314-2-1,2487,Total Referencial:,86755,Total Adjudicado:,86138,Total Recepcionado:,86138
20-1206-00-1050987-0-E,2488,Total Adjudicado:,31500,Total Recepcionado:,31500,,
20-1606-00-1039577-0-E,2489,Total Adjudicado:,106795,Total Recepcionado:,106795,,
21-1334-00-1140888-1-1,2490,Total Referencial:,46922,Total Recepcionado:,35250,,
21-0411-00-1115916-1-1,2491,Total Referencial:,997570,Total Adjudicado:,374000,Total Recepcionado:,374000
21-0147-00-1131746-1-1,2492,Total Referencial:,356880.19,Total Adjudicado:,203050,Total Recepcionado:,203050
20-1328-00-1067585-1-1,2493,Total Referencial:,355620.59,Total Adjudicado:,324003.87,Total Recepcionado:,324003.87
20-1734-00-1094158-1-1,2494,Total Referencial:,200000,Total Adjudicado:,199872,Total Recepcionado:,199872
20-1316-00-1066156-1-1,2495,Total Referencial:,200000,Total Adjudicado:,198985.15,Total Recepcionado:,198985.15
20-1905-00-1052444-0-E,2496,Total Adjudicado:,120000,,,,
20-1218-00-1092927-1-1,2497,Total Referencial:,29643,Total Recepcionado:,29643,,
20-1306-00-1050446-0-E,2498,Total Adjudicado:,40351,Total Recepcionado:,40351,,
20-1236-00-1046189-0-E,2499,Total Adjudicado:,32451,Total Recepcionado:,32451,,
20-0417-01-1081964-1-1,2500,Total Referencial:,36890,Total Recepcionado:,32050,,
21-0046-00-1156758-1-1,2501,Total Referencial:,49500,Total Recepcionado:,49500,,
20-0905-01-1054641-1-2,2503,Total Referencial:,81050,Total Adjudicado:,16210,Total Recepcionado:,9401.8
20-0417-06-1077227-1-1,2504,Total Referencial:,37600,Total Recepcionado:,37600,,
21-1534-00-1165898-1-1,2505,Total Referencial:,32116,Total Recepcionado:,25206,,
21-0411-00-1138545-1-1,2506,Total Referencial:,22800,Total Recepcionado:,21600,,
20-0903-00-1041406-0-E,2507,Total Adjudicado:,56000,Total Recepcionado:,56000,,
20-1208-00-1092028-1-1,2508,Total Referencial:,41947,Total Adjudicado:,39550,Total Recepcionado:,39550
20-1208-00-1092028-1-1,2508,Total Referencial:,269528,Total Adjudicado:,269465,Total Recepcionado:,269465
20-1208-00-1092028-1-1,2508,Total Referencial:,40800,Total Adjudicado:,40200,Total Recepcionado:,40200
20-1208-00-1092028-1-1,2508,Total Referencial:,96800,Total Adjudicado:,87430,Total Recepcionado:,87430
20-1208-00-1092028-1-1,2508,Total Referencial:,198390,Total Adjudicado:,197640,Total Recepcionado:,197640
20-1208-00-1092028-1-1,2508,Total Referencial:,2475,Total Adjudicado:,2400,Total Recepcionado:,
20-1201-00-1089684-1-1,2509,Total Referencial:,42731,Total Recepcionado:,42731,,
20-1707-00-1074111-1-1,2510,Total Referencial:,8310,Total Recepcionado:,8310,,
20-1201-00-1089694-1-1,2511,Total Referencial:,49856,Total Recepcionado:,49856,,
20-1415-00-1051659-0-E,2512,Total Adjudicado:,66000,Total Recepcionado:,66000,,
21-0781-00-1113700-1-1,2513,Total Referencial:,130000,Total Adjudicado:,1450,Total Recepcionado:,1450
21-0902-43-1184436-1-1,2514,Total Referencial:,34846,Total Recepcionado:,28086,,
21-1702-00-1161686-1-1,2515,Total Referencial:,50000,Total Recepcionado:,50000,,
20-0903-00-1095718-1-1,2516,Total Referencial:,2580424.22,Total Recepcionado:,2565063.52,,
20-0046-31-1050566-0-E,2517,Total Adjudicado:,28740,Total Recepcionado:,28740,,
20-1512-00-1098300-1-1,2518,Total Referencial:,120178,Total Adjudicado:,108288,Total Recepcionado:,108288
20-0905-00-1038618-0-E,2519,Total Adjudicado:,44340,Total Recepcionado:,44340,,
20-0907-00-1084093-1-1,2520,Total Referencial:,5693028,Total Adjudicado:,5408111.4,Total Recepcionado:,5408111.4
20-1121-00-1052513-0-E,2521,Total Adjudicado:,48819,Total Recepcionado:,48819,,
20-1810-00-1095167-1-1,2522,Total Referencial:,24300,Total Recepcionado:,24300,,
20-0417-06-1062063-3-1,2523,Total Referencial:,702076,Total Adjudicado:,702076,Total Recepcionado:,702076
21-1706-00-1151311-1-1,2524,Total Referencial:,145788.8,Total Recepcionado:,145788.8,,
20-1734-00-1094193-1-1,2525,Total Referencial:,200000,Total Adjudicado:,199872,Total Recepcionado:,199872
20-1734-00-1046566-0-E,2526,Total Adjudicado:,36000,Total Recepcionado:,36000,,
20-0417-07-1094004-1-1,2527,Total Referencial:,675182.64,Total Recepcionado:,675182.64,,
20-1805-00-1038780-0-E,2528,Total Adjudicado:,50000,Total Recepcionado:,50000,,
21-1412-00-1184376-1-1,2529,Total Referencial:,94440,Total Adjudicado:,92260,Total Recepcionado:,92260
21-1412-00-1184376-1-1,2529,Total Referencial:,14176,Total Adjudicado:,13887,Total Recepcionado:,13887
20-1280-00-1095781-1-1,2530,Total Referencial:,130800,Total Recepcionado:,130800,,
21-1412-00-1182752-1-1,2531,Total Referencial:,55620,Total Adjudicado:,54384,Total Recepcionado:,54384
21-1412-00-1182752-1-1,2531,Total Referencial:,71240,Total Adjudicado:,70692,Total Recepcionado:,70692
20-1604-00-1046828-0-E,2532,Total Adjudicado:,469300,Total Recepcionado:,469300,,
