cuce,tipo_a,monto_a,tipo_b,monto_b,tipo_c,monto_c
20-0132-00-1041771-0-E,Total Adjudicado:,35080,,,,
21-0432-00-1116245-1-1,Total Referencial:,25500,Total Recepcionado:,25500,,
21-1302-00-1163915-1-1,Total Referencial:,249995.34999999998,Total Adjudicado:,181814.8,Total Recepcionado:,181814.8
20-0902-40-1081887-1-1,Total Referencial:,45000,Total Recepcionado:,45000,,
20-1401-00-1043494-0-E,Total Adjudicado:,49161.5,Total Recepcionado:,49161.5,,
21-1519-00-1178148-1-1,Total Referencial:,43500,Total Recepcionado:,40500,,
20-1510-00-1080106-1-2,Total Referencial:,167450,Total Adjudicado:,67750,Total Recepcionado:,67750
20-0905-00-1043259-0-E,Total Adjudicado:,50000,Total Recepcionado:,50000,,
20-1315-00-1042881-0-E,Total Adjudicado:,245700,,,,
21-0906-03-1135027-1-1,Total Referencial:,50000,Total Recepcionado:,50000,,
20-1703-00-1049629-0-E,Total Adjudicado:,23500,Total Recepcionado:,23500,,
20-1338-00-1093942-1-1,Total Referencial:,123460,Total Adjudicado:,122955,Total Recepcionado:,122955
20-1201-00-1093753-1-1,Total Referencial:,49950,Total Recepcionado:,47100,,
20-1312-00-1099345-1-1,Total Referencial:,285231,Total Recepcionado:,284894,,
20-0417-07-1090757-1-1,Total Referencial:,240000,Total Recepcionado:,240000,,
21-0086-00-1149744-1-1,Total Referencial:,38680,Total Recepcionado:,21100,,
20-1301-00-1085716-1-1,Total Referencial:,49860,Total Recepcionado:,49860,,
20-1225-00-1098584-1-1,Total Referencial:,48500,Total Recepcionado:,48500,,
20-0046-17-1041411-0-E,Total Adjudicado:,42500,,,,
20-0902-42-1032817-0-E,Total Adjudicado:,41989.8,Total Recepcionado:,41989.8,,
21-1206-00-1139868-2-1,Total Referencial:,42240,Total Recepcionado:,34865,,
20-1201-00-1088296-1-1,Total Referencial:,49954.8,Total Recepcionado:,49954.8,,
20-1701-00-1039878-0-E,Total Adjudicado:,48000,Total Recepcionado:,48000,,
21-1301-00-1165409-1-1,Total Referencial:,49500,Total Recepcionado:,48499,,
21-0417-03-1177090-1-1,Total Referencial:,45600,Total Recepcionado:,28454.4,,
20-1302-00-1046352-0-E,Total Adjudicado:,271600,Total Recepcionado:,271600,,
20-0901-02-1048093-0-E,Total Adjudicado:,531069,Total Recepcionado:,531069,,
20-1521-00-1089473-1-1,Total Referencial:,169100,Total Recepcionado:,159100,,
20-0781-00-1065148-1-1,Total Referencial:,978816,Total Adjudicado:,173880,Total Recepcionado:,173880
20-0903-00-1092520-1-1,Total Referencial:,45900,Total Recepcionado:,45890,,
20-0901-02-1093826-1-1,Total Referencial:,41120,Total Recepcionado:,30620,,
20-1107-00-1070101-1-1,Total Referencial:,210805,Total Adjudicado:,210160,Total Recepcionado:,210160
21-1310-00-1107520-1-1,Total Referencial:,48848,Total Recepcionado:,41280,,
20-1604-00-1043921-0-E,Total Adjudicado:,31816.960000000003,Total Recepcionado:,31816.960000000003,,
20-0902-01-1045736-0-E,Total Adjudicado:,49978.07,Total Recepcionado:,49978.07,,
21-0903-00-1171076-1-1,Total Referencial:,30433.32,Total Recepcionado:,30433.32,,
20-1432-00-1089862-1-1,Total Referencial:,39345,Total Recepcionado:,39345,,
20-0902-21-1046784-0-E,Total Adjudicado:,23552,Total Recepcionado:,23552,,
20-0411-00-1090079-1-1,Total Referencial:,37200,Total Recepcionado:,30000,,
20-1701-00-1038990-0-E,Total Adjudicado:,467500,Total Recepcionado:,467500,,
20-0148-00-1101306-1-1,Total Referencial:,145000,Total Recepcionado:,131000,,
21-0951-00-1128584-1-1,Total Referencial:,49910,Total Recepcionado:,36890,,
20-1910-00-1040223-0-E,Total Adjudicado:,90065,Total Recepcionado:,90065,,
21-0417-06-1119180-1-1,Total Referencial:,40000,Total Recepcionado:,40000,,
20-1606-00-1048917-0-E,Total Adjudicado:,68650,Total Recepcionado:,68650,,
20-0902-43-1048236-0-E,Total Adjudicado:,48608,Total Recepcionado:,48608,,
20-0411-00-1091326-1-1,Total Referencial:,21712,Total Recepcionado:,20470,,
21-1101-00-1180140-2-2,Total Referencial:,517986,Total Adjudicado:,517698.23000000004,,
20-1201-00-1040310-0-E,Total Adjudicado:,1204905,Total Recepcionado:,1204905,,
20-0902-07-1048417-0-E,Total Adjudicado:,49375,Total Recepcionado:,49375,,
20-1604-00-1043988-0-E,Total Adjudicado:,318000,,,,
20-0903-00-1047607-0-E,Total Adjudicado:,48300,Total Recepcionado:,48300,,
21-0423-00-1150877-1-1,Total Referencial:,49875,Total Recepcionado:,45325,,
20-1907-00-1042665-0-E,Total Adjudicado:,75600,Total Recepcionado:,75600,,
20-1312-00-1045412-1-2,Total Referencial:,204920,Total Adjudicado:,168680,,
20-1301-00-1046441-0-E,Total Adjudicado:,222500,Total Recepcionado:,222500,,
20-1606-00-1037879-0-E,Total Adjudicado:,41050,Total Recepcionado:,41050,,
20-0903-00-1094680-1-1,Total Referencial:,49880,Total Recepcionado:,37575,,
21-1204-00-1114640-1-1,Total Referencial:,10,Total Adjudicado:,20000,Total Recepcionado:,20000
20-1606-00-1041302-0-E,Total Adjudicado:,26922,Total Recepcionado:,26922,,
20-1510-00-1049760-0-E,Total Adjudicado:,49190,Total Recepcionado:,49190,,
20-1801-00-1085812-1-2,Total Referencial:,936632,Total Recepcionado:,936631,,
21-0046-00-1174277-1-1,Total Referencial:,30240,Total Recepcionado:,20160,,
21-0147-00-1130667-1-1,Total Referencial:,534250.38,Total Adjudicado:,408230,Total Recepcionado:,408230
20-0901-13-1097071-1-1,Total Referencial:,30436,Total Recepcionado:,14750,,
20-0417-09-1091051-1-1,Total Referencial:,300000,Total Adjudicado:,300000,Total Recepcionado:,300000
20-1338-00-1094118-1-1,Total Referencial:,187935,Total Adjudicado:,183513,Total Recepcionado:,183513
20-1730-00-1048841-0-E,Total Adjudicado:,49440,Total Recepcionado:,49440,,
20-0660-09-1039478-0-E,Total Adjudicado:,49999,Total Recepcionado:,49999,,
20-0418-03-1042468-0-E,Total Adjudicado:,41010,Total Recepcionado:,41010,,
20-0418-03-1081786-1-1,Total Referencial:,242954,Total Recepcionado:,242954,,
20-0046-21-1089172-1-2,Total Referencial:,249999.88999999998,Total Adjudicado:,170079.55,Total Recepcionado:,170079.55
20-0417-07-1051224-0-E,Total Adjudicado:,299500,Total Recepcionado:,299500,,
21-1310-00-1124914-1-1,Total Referencial:,56106,Total Adjudicado:,56106,Total Recepcionado:,56106
20-1803-00-1051687-0-E,Total Adjudicado:,49926.7,Total Recepcionado:,49926.7,,
21-0417-03-1161153-1-1,Total Referencial:,260000,Total Adjudicado:,259500,Total Recepcionado:,259500
20-1302-00-1098839-1-1,Total Referencial:,110674,Total Recepcionado:,110674,,
20-1524-00-1096475-1-1,Total Referencial:,216668,,,,
21-1801-00-1121798-1-1,Total Referencial:,397870,Total Recepcionado:,206615.72,,
20-0170-00-1040187-0-E,Total Adjudicado:,42000,Total Recepcionado:,42000,,
20-1124-00-1101549-1-1,Total Referencial:,35000,Total Recepcionado:,35000,,
20-1810-00-1040407-0-E,Total Adjudicado:,25130,,,,
20-1341-00-1070053-1-1,Total Referencial:,54850,Total Adjudicado:,54000,Total Recepcionado:,54000
21-0906-03-1145412-1-1,Total Referencial:,31293.260000000002,Total Recepcionado:,31293.260000000002,,
20-0903-00-1047513-0-E,Total Adjudicado:,73780,Total Recepcionado:,73780,,
21-1408-00-1187332-1-1,Total Referencial:,40000,Total Recepcionado:,40000,,
20-1302-00-1051595-0-E,Total Adjudicado:,258450,Total Recepcionado:,258450,,
20-1218-00-1089639-1-1,Total Referencial:,210000,Total Adjudicado:,209160,Total Recepcionado:,209160
21-0340-00-1149463-1-1,Total Referencial:,76069,Total Adjudicado:,47802,Total Recepcionado:,47802
20-1801-00-1079678-1-1,Total Referencial:,531235,Total Recepcionado:,521875,,
20-4601-03-1093247-1-1,Total Referencial:,199999.97999999998,Total Adjudicado:,66040,Total Recepcionado:,66040
21-0423-00-1151954-1-1,Total Referencial:,49002,Total Recepcionado:,44625,,
20-1201-00-1038611-0-E,Total Adjudicado:,28800,Total Recepcionado:,28800,,
20-0417-00-1041111-0-E,Total Adjudicado:,37500,Total Recepcionado:,37500,,
20-1301-00-1046100-0-E,Total Adjudicado:,50500,Total Recepcionado:,50500,,
20-1335-00-1092302-1-2,Total Referencial:,49500,Total Recepcionado:,45882,,
20-1707-00-1049377-0-E,Total Adjudicado:,49600,Total Recepcionado:,49600,,
21-1301-00-1137278-1-1,Total Referencial:,49986,Total Recepcionado:,26381.5,,
21-0138-00-1150024-1-1,Total Referencial:,75000,Total Adjudicado:,75000,Total Recepcionado:,75000
21-0908-36-1160566-1-1,Total Referencial:,23500,Total Recepcionado:,22500,,
20-1528-00-1093284-1-1,Total Referencial:,990000,Total Adjudicado:,985000,Total Recepcionado:,985000
20-0906-03-1042364-0-E,Total Adjudicado:,45000,Total Recepcionado:,45000,,
20-1301-00-1045486-0-E,Total Adjudicado:,185550,Total Recepcionado:,185550,,
21-1310-00-1105577-1-1,Total Referencial:,52547,Total Adjudicado:,52547,Total Recepcionado:,52547
21-1310-00-1107317-1-1,Total Referencial:,47850,Total Recepcionado:,33259,,
21-1410-00-1178126-1-1,Total Referencial:,246820,Total Adjudicado:,240752,Total Recepcionado:,240752
20-1301-00-1048628-0-E,Total Adjudicado:,216000,,,,
20-0903-00-1095672-1-1,Total Referencial:,1227500,Total Recepcionado:,1227500,,
20-0147-00-1083056-1-1,Total Referencial:,984312.6799999999,Total Adjudicado:,982194.1799999999,Total Recepcionado:,982194.1799999999
20-0134-00-1050398-0-E,Total Adjudicado:,24000,,,,
21-1301-00-1167536-1-1,Total Referencial:,29842.56,Total Recepcionado:,27883.2,,
21-0423-00-1108044-1-1,Total Referencial:,49800,Total Recepcionado:,49800,,
20-1805-00-1037775-0-E,Total Adjudicado:,49700,Total Recepcionado:,49700,,
20-1401-00-1049115-0-E,Total Adjudicado:,24000,Total Recepcionado:,24000,,
20-4601-03-1089980-1-1,Total Referencial:,45948,Total Recepcionado:,45435,,
20-1404-00-1094001-1-1,Total Referencial:,911412,Total Recepcionado:,911412,,
20-0902-00-1044561-0-E,Total Adjudicado:,486729,Total Recepcionado:,486729,,
21-0046-31-1109488-1-1,Total Referencial:,48950,Total Recepcionado:,48950,,
20-0903-00-1041380-0-E,Total Adjudicado:,82800,Total Recepcionado:,82800,,
21-0046-00-1122524-1-1,Total Referencial:,30000,Total Recepcionado:,24000,,
20-1501-00-1089182-1-1,Total Referencial:,1240000,Total Recepcionado:,801900,,
20-0417-05-1071607-1-1,Total Referencial:,77993,Total Adjudicado:,77993,Total Recepcionado:,77993
20-1312-00-1039752-0-E,Total Adjudicado:,102000,Total Recepcionado:,102000,,
21-0417-01-1112929-1-1,Total Referencial:,140000,Total Adjudicado:,96000,Total Recepcionado:,96000
20-0906-00-1039738-0-E,Total Adjudicado:,800000,Total Recepcionado:,800000,,
20-1701-00-1043421-0-E,Total Adjudicado:,212925,Total Recepcionado:,212925,,
21-1701-00-1180438-1-1,Total Referencial:,139122,Total Adjudicado:,26904,Total Recepcionado:,26904
21-1206-00-1128854-1-1,Total Referencial:,49500,Total Recepcionado:,49500,,
21-0417-06-1120815-3-1,Total Referencial:,180000,Total Adjudicado:,177000,Total Recepcionado:,177000
20-0417-03-1071819-1-1,Total Referencial:,59837,Total Adjudicado:,58730,Total Recepcionado:,58730
20-1805-00-1048589-0-E,Total Adjudicado:,90000,Total Recepcionado:,90000,,
21-0417-06-1120420-1-1,Total Referencial:,95000,Total Adjudicado:,93000,Total Recepcionado:,93000
21-0417-03-1143727-1-1,Total Referencial:,28250,Total Recepcionado:,28250,,
20-0423-00-1087831-1-1,Total Referencial:,48000,Total Recepcionado:,17334,,
20-1205-00-1082433-1-1,Total Referencial:,300000,Total Recepcionado:,300000,,
20-1701-00-1040278-0-E,Total Adjudicado:,24570,Total Recepcionado:,24570,,
20-1245-00-1092605-1-1,Total Referencial:,490000,Total Recepcionado:,490000,,
20-0047-34-1049108-0-E,Total Adjudicado:,9000000,,,,
20-1322-00-1088461-1-1,Total Referencial:,250085,Total Recepcionado:,250085,,
20-0020-00-1048549-0-E,Total Adjudicado:,4320000,Total Recepcionado:,4320000,,
21-0030-00-1141528-1-1,Total Referencial:,49750,Total Recepcionado:,41650,,
21-0138-00-1148731-1-1,Total Referencial:,45300,Total Recepcionado:,42900,,
21-0417-04-1149841-1-1,Total Referencial:,49883.32,Total Recepcionado:,49883.32,,
20-0650-01-1050515-0-E,Total Adjudicado:,48600,Total Recepcionado:,48600,,
20-0148-00-1101251-1-1,Total Referencial:,2260000,Total Recepcionado:,2066216,,
20-1607-00-1038804-0-E,Total Adjudicado:,42600,Total Recepcionado:,42600,,
20-1501-00-1039217-0-E,Total Adjudicado:,39927,,,,
20-0660-14-1052234-0-E,Total Adjudicado:,44989.75,Total Recepcionado:,44989.75,,
20-1205-00-1046847-0-E,Total Adjudicado:,90000,,,,
20-0902-43-1047092-0-E,Total Adjudicado:,43890,Total Recepcionado:,43890,,
20-0902-01-1046845-1-1,Total Referencial:,199500,Total Adjudicado:,179550,Total Recepcionado:,179550
20-1247-00-1048638-0-E,Total Adjudicado:,70740,Total Recepcionado:,70740,,
20-4601-00-1048603-0-E,Total Adjudicado:,50000,Total Recepcionado:,50000,,
21-1201-00-1163522-1-1,Total Referencial:,50000,Total Recepcionado:,50000,,
21-0908-36-1162476-1-1,Total Referencial:,38832,Total Recepcionado:,22400,,
21-0422-00-1145932-1-1,Total Referencial:,500000,Total Adjudicado:,291121.8,Total Recepcionado:,291121.8
20-1257-00-1051200-0-E,Total Adjudicado:,126154,,,,
20-1301-00-1044858-0-E,Total Adjudicado:,178760,,,,
20-1703-00-1048609-0-E,Total Adjudicado:,49000,Total Recepcionado:,49000,,
20-0901-02-1098662-1-1,Total Referencial:,47700,Total Recepcionado:,47700,,
20-1201-00-1081618-1-1,Total Referencial:,107000,Total Recepcionado:,107000,,
21-0902-01-1158702-1-1,Total Referencial:,49950,Total Recepcionado:,49950,,
21-0417-03-1143842-1-1,Total Referencial:,46100,Total Recepcionado:,46100,,
20-1103-00-1063834-1-1,Total Referencial:,534870,Total Adjudicado:,505041,Total Recepcionado:,505041
20-1501-00-1041969-0-E,Total Adjudicado:,211000,Total Recepcionado:,211000,,
21-4601-00-1131285-1-1,Total Referencial:,44064,Total Recepcionado:,44064,,
20-1501-00-1093763-1-1,Total Referencial:,325000,Total Recepcionado:,275000,,
20-1342-00-1051620-0-E,Total Adjudicado:,48540,Total Recepcionado:,48540,,
20-3401-00-1088317-1-1,Total Referencial:,85700,Total Adjudicado:,85700,,
20-0422-00-1068686-1-1,Total Referencial:,153000,Total Adjudicado:,113500,Total Recepcionado:,
21-1221-00-1151240-2-1,Total Referencial:,69857,Total Adjudicado:,12375,Total Recepcionado:,12375
21-0901-02-1146623-1-2,Total Referencial:,30000,Total Recepcionado:,23250,,
20-1205-00-1099532-1-1,Total Referencial:,288400,Total Recepcionado:,288400,,
20-0903-00-1083204-1-1,Total Referencial:,39988,Total Recepcionado:,39988,,
20-4601-00-1044484-0-E,Total Adjudicado:,29550,Total Recepcionado:,29550,,
20-0046-00-1094877-1-1,Total Referencial:,37800,Total Recepcionado:,26800,,
20-0513-00-1044379-0-E,Total Adjudicado:,69616,Total Recepcionado:,69616,,
21-0417-09-1140830-1-1,Total Referencial:,74420,Total Adjudicado:,74419.3,Total Recepcionado:,74419.3
20-1126-00-1056075-1-1,Total Referencial:,468420,Total Adjudicado:,468420,Total Recepcionado:,468420
20-1341-00-1057953-1-1,Total Referencial:,509726,Total Adjudicado:,305418,Total Recepcionado:,305418
20-1501-00-1083397-1-2,Total Referencial:,,,,,
20-1501-00-1083397-1-2,Total Recepcionado:,,,,,
20-0903-00-1092250-1-1,Total Referencial:,49840,Total Recepcionado:,47170,,
20-1345-00-1067649-1-1,Total Referencial:,117250,Total Adjudicado:,78919.04,Total Recepcionado:,78919.04
20-1704-00-1090109-1-1,Total Referencial:,49760,Total Recepcionado:,49760,,
20-1604-00-1090893-1-1,Total Referencial:,407200,Total Recepcionado:,363400,,
20-0417-03-1077761-1-1,Total Referencial:,244970,Total Adjudicado:,244970,Total Recepcionado:,244970
20-1280-00-1095802-1-1,Total Referencial:,431923,Total Recepcionado:,431923,,
21-0907-08-1145653-1-1,Total Referencial:,49983.5,Total Recepcionado:,44886.3,,
21-0417-09-1124357-1-3,Total Referencial:,26992,Total Recepcionado:,26148.5,,
20-1725-00-1061332-2-1,Total Referencial:,459059.7,Total Adjudicado:,52449.5,Total Recepcionado:,52449.5
20-1328-00-1074502-1-1,Total Referencial:,254464.8,Total Adjudicado:,254446.28,Total Recepcionado:,254446.28
21-1101-00-1156325-1-1,Total Referencial:,50000,Total Recepcionado:,50000,,
21-1301-00-1164505-1-1,Total Referencial:,39200,Total Recepcionado:,25520,,
20-1114-00-1061036-2-1,Total Referencial:,411000,Total Adjudicado:,408900,Total Recepcionado:,408900
20-1201-18-1045209-0-E,Total Adjudicado:,115600,Total Recepcionado:,115600,,
20-1606-00-1041909-0-E,Total Adjudicado:,92000,Total Recepcionado:,92000,,
20-1301-00-1037577-0-E,Total Adjudicado:,49869,Total Recepcionado:,49869,,
20-1201-00-1084804-1-1,Total Referencial:,50000,Total Recepcionado:,50000,,
20-1707-00-1081744-1-1,Total Referencial:,22020,Total Recepcionado:,22020,,
20-1225-00-1047770-0-E,Total Adjudicado:,169920,Total Recepcionado:,169920,,
20-1734-00-1046580-0-E,Total Adjudicado:,119800,Total Recepcionado:,119800,,
20-0283-15-1043368-0-E,Total Adjudicado:,32424,Total Recepcionado:,32424,,
20-1734-00-1094175-1-1,Total Referencial:,200000,Total Adjudicado:,199872,Total Recepcionado:,199872
20-0908-00-1047633-0-E,Total Adjudicado:,63600,Total Recepcionado:,63600,,
21-0901-02-1170056-1-1,Total Referencial:,260000,Total Recepcionado:,260000,,
20-0906-03-1048883-0-E,Total Adjudicado:,40500,Total Recepcionado:,40500,,
21-0423-00-1139934-1-1,Total Referencial:,45343,Total Recepcionado:,39245,,
20-0902-01-1046693-1-1,Total Referencial:,199800,Total Adjudicado:,173160,Total Recepcionado:,173160
20-0902-39-1043071-0-E,Total Adjudicado:,21550,Total Recepcionado:,21550,,
20-1607-00-1095157-1-1,Total Referencial:,1103400,Total Recepcionado:,1094572.8,,
20-1301-00-1091284-1-1,Total Referencial:,195000,Total Recepcionado:,165000,,
20-1302-00-1037747-0-E,Total Adjudicado:,49980,Total Recepcionado:,49980,,
20-0901-02-1038815-0-E,Total Adjudicado:,85000,Total Recepcionado:,85000,,
21-0203-00-1143495-2-1,Total Referencial:,49800,Total Recepcionado:,44500,,
20-0906-00-1041229-0-E,Total Adjudicado:,437500,Total Recepcionado:,437500,,
20-1218-00-1089570-1-1,Total Referencial:,252000,Total Adjudicado:,233100,Total Recepcionado:,233100
20-1301-00-1091903-1-1,Total Referencial:,26000,Total Recepcionado:,22600,,
20-0417-09-1095352-1-1,Total Referencial:,997360,Total Recepcionado:,997350,,
20-1124-00-1048172-0-E,Total Adjudicado:,33700,Total Recepcionado:,33700,,
20-1909-00-1062231-1-1,Total Referencial:,419730,Total Adjudicado:,414975,Total Recepcionado:,414975
20-1801-00-1078706-1-1,Total Referencial:,64989.5,Total Recepcionado:,64989.5,,
20-1734-00-1094203-1-1,Total Referencial:,200000,Total Adjudicado:,199872,Total Recepcionado:,199872
20-0422-00-1060490-1-1,Total Referencial:,200000,Total Adjudicado:,96000,Total Recepcionado:,96000
20-1262-00-1041657-0-E,Total Adjudicado:,43600,Total Recepcionado:,43600,,
20-1301-00-1047106-0-E,Total Adjudicado:,108000,Total Recepcionado:,108000,,
20-1302-00-1098816-1-1,Total Referencial:,207814,Total Recepcionado:,195424,,
20-1516-00-1079590-1-1,Total Referencial:,649999.99,Total Adjudicado:,531991,Total Recepcionado:,531991
20-1734-00-1094213-1-1,Total Referencial:,200000,Total Adjudicado:,196800,Total Recepcionado:,196800
20-1813-00-1101177-1-1,Total Referencial:,499963,,,,
20-1306-00-1051435-0-E,Total Adjudicado:,27000,Total Recepcionado:,27000,,
21-1101-00-1172280-1-1,Total Referencial:,50000,Total Recepcionado:,50000,,
20-0902-40-1037922-0-E,Total Adjudicado:,40000,Total Recepcionado:,40000,,
21-0417-06-1183241-1-1,Total Referencial:,34970,Total Recepcionado:,34892,,
20-1301-00-1044640-0-E,Total Adjudicado:,66000,,,,
20-1302-00-1075737-1-2,Total Referencial:,127390,Total Recepcionado:,116989,,
20-1320-00-1051176-0-E,Total Adjudicado:,28790,Total Recepcionado:,28790,,
20-1417-00-1101738-1-1,Total Referencial:,44000,Total Recepcionado:,42100,,
20-1734-00-1093841-2-1,Total Referencial:,200000,Total Adjudicado:,196800,Total Recepcionado:,196800
20-0417-00-1041149-0-E,Total Adjudicado:,860451,Total Recepcionado:,860451,,
21-0417-01-1121163-1-1,Total Referencial:,49351.619999999995,Total Recepcionado:,36246.21,,
21-0142-00-1147525-2-1,Total Referencial:,64700,Total Adjudicado:,13500,Total Recepcionado:,13500
20-0906-03-1041187-0-E,Total Adjudicado:,27200,Total Recepcionado:,27200,,
20-0417-09-1034893-0-E,Total Adjudicado:,43000,Total Recepcionado:,43000,,
20-1302-00-1093251-1-1,Total Referencial:,400000,Total Adjudicado:,262600,Total Recepcionado:,262600
20-1607-00-1050926-0-E,Total Adjudicado:,192000,Total Recepcionado:,192000,,
20-1810-00-1077664-1-1,Total Referencial:,420000,Total Adjudicado:,410000,Total Recepcionado:,410000
20-0382-00-1052155-0-E,Total Adjudicado:,42300,Total Recepcionado:,42300,,
21-0046-00-1142559-1-1,Total Referencial:,199998,Total Adjudicado:,199998,Total Recepcionado:,199998
20-1801-00-1049208-0-E,Total Adjudicado:,29988,Total Recepcionado:,29988,,
21-0901-02-1172004-1-1,Total Referencial:,814320,Total Recepcionado:,814320,,
20-1701-00-1039214-0-E,Total Adjudicado:,23140,Total Recepcionado:,23140,,
21-1280-00-1115951-1-1,Total Referencial:,32815,Total Recepcionado:,32815,,
20-0902-01-1046850-1-1,Total Referencial:,199500,Total Adjudicado:,199500,Total Recepcionado:,199500
20-0411-00-1082277-1-1,Total Referencial:,52800,Total Recepcionado:,50400,,
20-1331-00-1075685-1-1,Total Referencial:,53700,Total Adjudicado:,23831,Total Recepcionado:,23831
20-0411-00-1084525-1-1,Total Referencial:,25000,Total Recepcionado:,25000,,
20-1202-00-1089788-1-1,Total Referencial:,111967.33,Total Recepcionado:,24920.67,,
20-1260-00-1038134-0-E,Total Adjudicado:,46315,Total Recepcionado:,46315,,
20-0417-02-1094302-1-1,Total Referencial:,298000,Total Recepcionado:,298000,,
20-1310-00-1048302-0-E,Total Adjudicado:,49992,Total Recepcionado:,49992,,
21-0513-00-1170069-1-1,Total Referencial:,39860,Total Recepcionado:,37852.6,,
20-1342-00-1095219-1-1,Total Referencial:,49880,Total Recepcionado:,49880,,
21-0903-13-1177480-1-1,Total Referencial:,562290,Total Adjudicado:,414200,Total Recepcionado:,414200
20-1206-00-1038581-0-E,Total Adjudicado:,25900,Total Recepcionado:,25900,,
20-1218-00-1100258-1-1,Total Referencial:,40020,Total Recepcionado:,40020,,
20-0901-02-1046005-0-E,Total Adjudicado:,21328,Total Recepcionado:,21328,,
20-4601-03-1043468-0-E,Total Adjudicado:,66006,Total Recepcionado:,66006,,
20-1342-00-1052272-0-E,Total Adjudicado:,55000,Total Recepcionado:,55000,,
21-0906-03-1156662-2-1,Total Referencial:,200000,Total Adjudicado:,200000,Total Recepcionado:,200000
21-1511-00-1164054-1-1,Total Referencial:,,,,,
21-1511-00-1164054-1-1,Total Recepcionado:,,,,,
20-0902-01-1088650-1-1,Total Referencial:,980000,Total Adjudicado:,728000,Total Recepcionado:,728000
20-0417-00-1041098-0-E,Total Adjudicado:,166180,Total Recepcionado:,166180,,
20-0660-09-1039697-0-E,Total Adjudicado:,39498,Total Recepcionado:,39498,,
20-1810-00-1049574-0-E,Total Adjudicado:,48372,Total Recepcionado:,48372,,
20-1805-00-1037523-0-E,Total Adjudicado:,31995,Total Recepcionado:,31995,,
20-1406-00-1043681-0-E,Total Adjudicado:,20220,,,,
20-1414-00-1097757-1-1,Total Referencial:,27500,Total Recepcionado:,27500,,
20-1734-00-1046436-0-E,Total Adjudicado:,72650,Total Recepcionado:,72650,,
20-0909-00-1052520-0-E,Total Adjudicado:,87000,Total Recepcionado:,87000,,
21-1107-00-1121385-1-2,Total Referencial:,289871.25,Total Adjudicado:,288012.66,Total Recepcionado:,288012.66
20-1342-00-1052751-0-E,Total Adjudicado:,19500,Total Recepcionado:,19500,,
20-1704-00-1078233-1-1,Total Referencial:,49896,Total Recepcionado:,28800,,
20-1531-00-1074757-1-1,Total Referencial:,81376.47,Total Adjudicado:,26848.05,Total Recepcionado:,
20-1312-00-1037166-1-2,Total Referencial:,112000,Total Adjudicado:,112000,Total Recepcionado:,112000
20-1228-00-1097686-1-1,Total Referencial:,31234,Total Recepcionado:,31234,,
20-0417-06-1079014-1-1,Total Referencial:,40037,Total Recepcionado:,40037,,
20-1101-00-1050914-0-E,Total Adjudicado:,21960,Total Recepcionado:,21960,,
21-0139-00-1115117-1-1,Total Referencial:,46200,Total Recepcionado:,46200,,
20-1201-18-1041120-0-E,Total Adjudicado:,115692,Total Recepcionado:,115692,,
20-1704-00-1092129-1-1,Total Referencial:,980000,Total Adjudicado:,950000,Total Recepcionado:,950000
20-1312-00-1052016-0-E,Total Adjudicado:,38850,Total Recepcionado:,38850,,
20-1301-00-1087565-1-1,Total Referencial:,220000,Total Recepcionado:,220000,,
20-1503-00-1040388-0-E,Total Adjudicado:,259790,Total Recepcionado:,259790,,
20-0046-00-1090932-1-1,Total Referencial:,49600,Total Recepcionado:,48000,,
20-0418-07-1046217-0-E,Total Adjudicado:,120000,Total Recepcionado:,120000,,
21-0417-04-1143132-1-2,Total Referencial:,899989.54,Total Adjudicado:,862186,Total Recepcionado:,948402
20-4601-00-1045860-0-E,Total Adjudicado:,41899,Total Recepcionado:,41899,,
21-0423-00-1148786-1-1,Total Referencial:,49934,Total Recepcionado:,42764,,
21-1206-00-1112480-1-1,Total Referencial:,48300,Total Recepcionado:,40600,,
21-0417-09-1153738-1-2,Total Referencial:,30675,Total Recepcionado:,21472.5,,
21-1261-00-1112133-1-1,Total Referencial:,49648,Total Recepcionado:,49648,,
20-0902-01-1046772-0-E,Total Adjudicado:,49920,Total Recepcionado:,49920,,
20-0418-40-1080141-1-1,Total Referencial:,,,,,
20-0418-40-1080141-1-1,Total Recepcionado:,,,,,
20-1610-00-1038458-0-E,Total Adjudicado:,39000,Total Recepcionado:,39000,,
21-0417-01-1111288-1-1,Total Referencial:,25670,Total Recepcionado:,25670,,
21-0903-00-1171220-1-1,Total Referencial:,643383.41,Total Adjudicado:,643380,Total Recepcionado:,643380
20-1301-00-1100674-1-1,Total Referencial:,891468,Total Recepcionado:,396208,,
21-1303-00-1165385-1-1,Total Referencial:,42848,Total Recepcionado:,34299.42,,
20-0417-09-1095347-1-1,Total Referencial:,590000,Total Recepcionado:,458000,,
20-1201-00-1044557-0-E,Total Adjudicado:,50000,Total Recepcionado:,50000,,
21-0901-02-1171747-1-1,Total Referencial:,165400,Total Recepcionado:,165400,,
20-1810-00-1078693-1-1,Total Referencial:,26460,Total Recepcionado:,26460,,
20-1734-00-1094216-1-1,Total Referencial:,200000,Total Adjudicado:,196800,Total Recepcionado:,196800
21-1342-00-1183865-1-1,Total Referencial:,33000,Total Recepcionado:,33000,,
20-0905-06-1051815-0-E,Total Adjudicado:,25440,,,,
