cuce,#,CodigoUNSPSC,ObjetodeGasto,DescripciondelBienoServicio,UnidaddeMedida,Cantidad,PrecioReferencialUnitario,PrecioReferencialTotal,NombreoRazonSocialdelProponenteAdjudicado,PrecioUnitarioAdjudicado,TotalAdjudicado,CantidadRecepcionada,PrecioUnitarioReal,MontoRealejecutado,Estado,Cronograma,Nombreproponente,MontoAdjudicado,Nro.de,Montode,Fechade,Monto,Fechade.1,RUPE,TipodeDocumento,Formulario,Fecha
21-0902-43-1125747-1-1,3,4713000,34500,ATOMIZADOR DE UN LITRO,PIEZA,"20,00","20,00","400,00",,,,"20,00","15,00","300,00",Contratado,Cronograma 0,,,,,,,,,,,
21-0902-43-1125747-1-1,4,4713000,34500,BASUREROS DE BIOSEGURIDAD DE 80 LITROS CON PEDAL,PIEZA,"25,00","250,00","6.250,00",,,,"25,00","210,00","5.250,00",Contratado,Cronograma 0,,,,,,,,,,,
21-0902-43-1125747-1-1,5,4713000,34500,TAPERS DE 30 LITROS,PIEZA,"20,00","85,00","1.700,00",,,,"20,00","70,00","1.400,00",Contratado,Cronograma 0,,,,,,,,,,,
21-0902-43-1125747-1-1,6,4713000,34500,BASUREROS DE OFICINA TIPO CANASTILLO,PIEZA,"20,00","45,00","900,00",,,,"20,00","35,00","700,00",Contratado,Cronograma 0,,,,,,,,,,,
21-0902-43-1125747-1-1,7,4713000,34500,CONTENEDOR DE RESIDUOS FINALES COPACIDAD 1100 LITROS,PIEZA,"2,00","4.800,00","9.600,00",,,,"2,00","3.444,00","6.888,00",Contratado,Cronograma 0,,,,,,,,,,,
21-0902-43-1125747-1-1,8,4713000,34500,TAPERS PEQUEÑOS,PIEZA,"15,00","40,00","600,00",,,,"15,00","35,00","525,00",Contratado,Cronograma 0,,,,,,,,,,,
21-0902-43-1125747-1-1,9,4713000,34500,TACHOS DE 100 LITROS,PIEZA,"20,00","120,00","2.400,00",,,,"20,00","110,00","2.200,00",Contratado,Cronograma 0,,,,,,,,,,,
21-0902-43-1125747-1-1,10,4713000,34500,CARROS MULTIUSO DE LIMPIEZA,PIEZA,"7,00","1.917,00","13.419,00",,,,"7,00","1.917,00","13.419,00",Contratado,Cronograma 0,,,,,,,,,,,
21-1227-00-1113524-1-1,1,4213000,33200,BATAS DE BIOSEGURIDAD,UNIDAD,"1.000,00","65,00","65.000,00",,,,"1.000,00","65,00","65.000,00",Contratado,Cronograma 0,,,,,,,,,,,
21-1227-00-1113524-1-1,2,4229000,33200,GUANTES QUIRURGICOS,UNIDAD,"20.000,0","0,75","15.000,00",,,,"20.000,00","0,75","15.000,00",Contratado,Cronograma 0,,,,,,,,,,,
21-1227-00-1113524-1-1,3,5121000,34200,ZINC 50MG,UNIDAD,"10.000,0","1,14","11.400,00",,,,"10.000,00","1,14","11.400,00",Contratado,Cronograma 0,,,,,,,,,,,
21-1227-00-1113524-1-1,4,4229000,33200,GORRAS QUIRURGICAS,UNIDAD,"20.000,0","0,65","13.000,00",,,,"20.000,00","0,65","13.000,00",Contratado,Cronograma 0,,,,,,,,,,,
21-1227-00-1113524-1-1,5,5121000,34200,IBUPROFENO 400 MG CAPSULA BLANDA,UNIDAD,"10.000,0","1,56","15.600,00",,,,"10.000,00","1,56","15.600,00",Contratado,Cronograma 0,,,,,,,,,,,
21-1227-00-1113524-1-1,6,5121000,34200,"VITAMINA D, 5000 U.I.",UNIDAD,"10.000,0","1,50","15.000,00",,,,"10.000,00","1,50","15.000,00",Contratado,Cronograma 0,,,,,,,,,,,
21-1227-00-1113524-1-1,7,5121000,34200,ALIVIOL ANTIGRIPAL,UNIDAD,"10.000,0","2,50","25.000,00",,,,"10.000,00","2,50","25.000,00",Contratado,Cronograma 0,,,,,,,,,,,
21-1227-00-1113524-1-1,8,5121000,34200,ASPIRINA 1000 MG,UNIDAD,"10.000,0","0,48","4.800,00",,,,"10.000,00","0,48","4.800,00",Contratado,Cronograma 0,,,,,,,,,,,
21-1227-00-1113524-1-1,9,5121000,34200,OMEPRAZOL 20 MG,UNIDAD,"10.000,0","1,15","11.500,00",,,,"10.000,00","1,15","11.500,00",Contratado,Cronograma 0,,,,,,,,,,,
21-1227-00-1113524-1-1,10,5121000,34200,"OMEGA 3, CAPSULA BLANDA",UNIDAD,"10.000,0","1,18","11.800,00",,,,"10.000,00","1,18","11.800,00",Contratado,Cronograma 0,,,,,,,,,,,
21-1227-00-1113524-1-1,11,5121000,34200,"VITAMINA C, 10000 MG",UNIDAD,"10.000,0","1,18","11.800,00",,,,"10.000,00","1,18","11.800,00",Contratado,Cronograma 0,,,,,,,,,,,
21-1263-00-1148844-1-1,1,5110285,34200,Alcohol isopropílico / ácido salicílico / tiosulfato de sodio - ALCOHOL EN GEL ANTIBACTERIAL DE MANOS DE 360 ML,UNIDAD,700.00,17.0,"11,900.00",CALLISAYA GUTIERREZ YAHUAR PABLO,15.1,"10,570.00",700.00,15.1,"10,570.00",Contratado,,,,,,,,,,,,
21-1263-00-1148844-1-1,2,5313160,39100,Jabones - JABON LIQUIDO ANTIBACTERIAL DE 1 LITRO,PIEZA,500.00,13.5,"6,750.00",CALLISAYA GUTIERREZ YAHUAR PABLO,12.2,"6,100.00",500.00,12.2,"6,100.00",Contratado,,,,,,,,,,,,
21-1263-00-1148844-1-1,3,4713150,39100,Pañitos o toallas para limpiar - TOALLAS   DE    MANO PERSONALES,PIEZA,"3,840.00",13.0,"49,920.00",CALLISAYA GUTIERREZ YAHUAR PABLO,11.2,"43,008.00","3,840.00",11.2,"43,008.00",Contratado,,,,,,,,,,,,
21-1263-00-1148844-1-1,4,4213171,43400,Aislamiento quirúrgico o máscaras quirúrgicas - MASCARRILLA QUIRURGICA,CAJA,500.00,20.0,"10,000.00",CALLISAYA GUTIERREZ YAHUAR PABLO,17.6,"8,800.00",500.00,17.6,"8,800.00",Contratado,,,,,,,,,,,,
21-1263-00-1148844-1-1,5,5147370,34200,Hipoclorito de sodio - LAVANDINAS X5 DE   5 LITROS,UNIDAD,500.00,48.0,"24,000.00",CALLISAYA GUTIERREZ YAHUAR PABLO,45.0,"22,500.00",500.00,45.0,"22,500.00",Contratado,,,,,,,,,,,,
21-1263-00-1148844-1-1,6,7310161,26990,"Servicios de producción de disolventes, glicoles o detergentes - DETERGENTE EN POLVO DE 1 KG",BOLSA,250.00,16.0,"4,000.00",CALLISAYA GUTIERREZ YAHUAR PABLO,14.9,"3,725.00",250.00,14.9,"3,725.00",Contratado,,,,,,,,,,,,
21-1263-00-1148844-1-1,7,7210210,25400,Servicios de exterminación o fumigación - FUMIGADORAS MOCHILA,EQUIPO,51.00,450.0,"22,950.00",CALLISAYA GUTIERREZ YAHUAR PABLO,429.0,"21,879.00",51.00,429.0,"21,879.00",Contratado,,,,,,,,,,,,
21-1263-00-1148844-1-1,8,4014174,85900,Atomizadores - ATOMIZADORES DE COLGAR,PIEZA,"3,850.00",10.0,"38,500.00",CALLISAYA GUTIERREZ YAHUAR PABLO,9.2,"35,420.00","3,850.00",9.2,"35,420.00",Contratado,,,,,,,,,,,,
21-0382-00-1167804-1-1,1,8212150,25600,Impresión digital - SERVICIO DE IMPRESIÓN DE GUÍA DE MEDICINA TRADICIONAL PARA ABORDAJE DE LA COVID-19,SERVICI O,"1,00",,,VELASQUEZ ALAVI SONIA SUSY,"53.488,00","53.488,00","1,00","53.488,00","53.488,00",Contratado,Cronograma 0,,,,,,,,,,,
21-0902-43-1163069-1-1,1,4110421,34200,Agua destilada o deionizada - agua destilada esteril 1000 ml,LITRO,"3,000.00",11.40,"34,200.00",,,,,,,No se presentaron proponentes,Cronograma 0,,,,,,,,,,,
21-0902-43-1163069-1-1,2,4110421,34200,Agua destilada o deionizada - agua destilada x 20 litros (BIDON),BIDON,602.00,180.00,"108,360.00",,,,,,,Las propuestas no cumplieron aspectos tecnicos/admini strativos,Cronograma 0,,,,,,,,,,,
21-0902-43-1163069-1-1,3,4227222,34200,Accesorios o suministros para respiradores - respiratorio- pieza facial de cara completa,UNIDAD,125.00,"1,258.35","157,293.75",MAMANI SANCHEZ LESLY FABIOLA,"1,050.00","131,250.00",125.0,"1,050.00","131,250.00",Contratado,Cronograma 0,,,,,,,,,,,
21-1601-00-1112062-1-1,1,4016000,43700,"MAQUINA ESPECIAL TERMONEBULIZADOR 5,7LTS S/BUJI TF-35 TERMO NEBULIZADOR QUE PERMITA SOLUCIONES QUÍMICAS QUE PRODUZCA UNA NIEBLA FINA DE AEROSOLES QUE ESTÉN DEDICADOS A CONTROL DE PLAGAS",PIEZA,"4,00","9.068,88","36.275,52",,,,"4,00","9.000,00","36.000,00",Contratado,Cronograma 0,,,,,,,,,,,
21-1601-00-1112062-1-1,2,2310000,34500,MOCHILAS DE FUMIGACION PULVERIZADOR MANUAL 20LT,PIEZA,"10,00","500,00","5.000,00",,,,"10,00","415,00","4.150,00",Contratado,Cronograma 0,,,,,,,,,,,
21-0681-00-1124070-1-1,1,,,,,,,,,,,,,,,,CALLEJAS PASTOR JAVIER FREDDY,,,,,"2.700,00",14/04/2021,,,,
21-0681-00-1124070-1-1,2,,,,,,,,,,,,,,,,ZEGARRUNDO VILLARROEL JOSE EDUARDO,,,,,"400,00",16/04/2021,,,,
21-0046-31-1132370-1-1,1,5128490,34200,Cilastatina / imipenem - IMIPENEM+CILASTINA 500MG+500MG,INYECTA BLE,"1.000,00","42,00","42.000,00",,,,"1.000,00","38,99","38.990,00",Contratado,Cronograma 0,,,,,,,,,,,
21-0046-21-1136528-1-1,1,4111612,34200,Kits o suministros para pruebas de inmunología o serología - prueba rapida de antigeno Covid-19,piezas,"1,000.00",40.0,"40,000.00",,,,"1,000.00",28.0,"28,000.00",Contratado,Cronograma 0,,,,,,,,,,,
21-0432-00-1141633-1-1,1,5127290,34200,"Propofol - Propofol, inyectable de 10mg/ml, en envase primario de vidrio conteniendo 20ml de producto, vcto no inferior a 2 años",inyectable,"100,00","51,86","5.186,00",,,,"100,00","48,00","4.800,00",Contratado,Cronograma 0,,,,,,,,,,,
21-0432-00-1141633-1-1,2,5115200,34200,"Atracurio - Atracurio besilato, 10 mg/ml, en envase primario ampolla de vidrio color ámbar, sistema de apertura OPC para administracion intramuscular y endovenosa, vcto no inferior a 2 años",Inyectable,"350,00","44,71","15.648,50",,,,,,,Declarado Desierto por Desistimiento,Cronograma 0,,,,,,,,,,,
21-0432-00-1141633-1-1,3,5134380,34200,"Abacavir / lamivudina - Remdesivir polvo liofilizado, en envase primario vial conteniendo polvo liofilizado 100mg de rendesivir concentrado para solucion para perfusion",Inyectable,"28,00","800,00","22.400,00",,,,,,,Declarado Desierto por Desistimiento,Cronograma 0,,,,,,,,,,,
21-0432-00-1141633-1-1,4,5140153,34200,"Midazolam - Midazolam inyectable 15mg/3ml, en envase primario ampolla de vidrio con sistema de abertura OPC, debidamente protegido de la luz y la humedad, vcto no menor a dos años",Inyectable,"320,00","21,00","6.720,00",,,,,,,Declarado Desierto por Desistimiento,Cronograma 0,,,,,,,,,,,
21-0901-02-1171985-1-1,1,4111580,43400,Analizadores de gas en la sangre - ADQUISICION DE GASOMETRO DE MULTIPLE REGISTRO DE OXIMETRIA ESTADO ACIDO BASE PARA EL I.G.B.J. SUCRE PREVENCION CONTROL Y ATENCION DEL CORONAVIRUS,UNID,"1,00","90.000,00","90.000,00",,,,"1,00","89.000,00","89.000,00",Contratado,Cronograma 0,,,,,,,,,,,
21-0417-01-1107714-1-1,1,4112000,34200,ELISA PARA COVID-19 IGG,CAJA,5.0,"6,500.00","32,500.00",,,,5.0,"5,500.00","27,500.00",Contratado,Cronograma 0,,,,,,,,,,,
21-1201-00-1144847-1-1,1,4114192,39800,"Gases de sangre (pco2, po2) y sistema de prueba de ph de sangre - CARTRIDGE CG4 (CJA.X 25 UNIDADES) PARA EQUIPO DE GASOMETRIA",CAJA,"25,00","2.000,00","50.000,00",,,,"25,00","2.000,00","50.000,00",Contratado,Cronograma 0,,,,,,,,,,,
21-1501-00-1125048-1-1,1,4411000,43110,MAMPARA PLOMADA - 1 METRO DE ANCHO * 1.90 METROS DE ALTO CON 4 RODAPIES DOS CON FRENO,PIEZA,2.0,"5,800.00","11,600.00",,,,2.0,"5,800.00","11,600.00",Contratado,Cronograma 0,,,,,,,,,,,
21-1501-00-1125048-1-1,2,4111000,43400,"BUCKY MURAL MAS BUCKY DE MESA Y PORTA CHASIS PARA FLAT PANEL - BUCKY DE MESA, MESA LARGO 1.8 - 2.00 M, ANCHO 0.50 - 0.65 M,ALTO 0.50 - 0.70 M, 4 RUEDAS -  BUCKY MURAL, ALTO 1.90M, ANCHO 0.50, 4 RUEDAS",SET,2.0,"13,500.00","27,000.00",,,,2.0,"13,500.00","27,000.00",Contratado,Cronograma 0,,,,,,,,,,,
21-0417-06-1123362-1-1,1,4214000,34200,GUANTES DE NITRILO,PIEZA,"70,000.0",1.05,"73,500.00",MAYTA PATZI ELOY ROMAN,0.89,"62,300.00","70,000.00",0.89,"62,300.00",Contratado,Cronograma 0,,,,,,,,,,,
21-1325-00-1180457-1-1,1,4017151,34500,Tubo pvc para uso comercial - Tubería PVC E-40  de 6? (barra de 6 mt.),Pza.,10.00,696.04,"6,960.40",DISMAT S.R.L.,689.10,"6,891.00",10.0,689.10,"6,891.00",Contratado,Cronograma 0,,,,,,,,,,,
21-1325-00-1180457-1-1,2,4017151,34500,Tubo pvc para uso comercial - Tubería PVC E-40  de 8? (barra de 6 mt.),Pza.,3.00,"1,141.05","3,423.15",DISMAT S.R.L.,"1,129.60","3,388.80",3.0,"1,129.60","3,388.80",Contratado,Cronograma 0,,,,,,,,,,,
21-1325-00-1180457-1-1,3,4017151,34500,Tubo pvc para uso comercial - Tubería PVC E-40  de 3? (barra de 6 mt.),Pza.,124.00,280.66,"34,801.84",DISMAT S.R.L.,277.90,"34,459.60",124.0,277.90,"34,459.60",Contratado,Cronograma 0,,,,,,,,,,,
21-1325-00-1180457-1-1,4,4017151,34500,Tubo pvc para uso comercial - Tubería PVC E-40 de 2? (barra de 6 Mt.),Pza.,145.00,144.01,"20,881.45",DISMAT S.R.L.,142.60,"20,677.00",145.0,142.60,"20,677.00",Contratado,Cronograma 0,,,,,,,,,,,
21-1325-00-1180457-1-1,5,4017151,34500,Tubo pvc para uso comercial - Tubería PVC E-40  de 4? (barra de 6 mt.),Pza.,205.00,390.46,"80,044.30",DISMAT S.R.L.,386.80,"79,294.00",205.0,386.80,"79,294.00",Contratado,Cronograma 0,,,,,,,,,,,
21-0423-00-1112142-1-1,1,5116000,34200,ATRACUR 50(ATRACURIO BESILATO) 10MG/ML X 5ML,INYECTA BLE,"1,386.00",36.0,"49,896.00",,,,"1,386.00",34.95,"48,440.70",Contratado,Cronograma 0,,,,,,,,,,,
21-1201-00-1182441-1-1,1,1310201,34500,Polímero cristal líquido lcp - LAMINA DE ACRILICO (POR UNIDAD) Transparente TAMAÑO: 0.70 MT X 0.55 M X 3MM,UNIDAD/ PIEZA,"2,00","160,00","320,00",,,,"2,00","150,00","300,00",Contratado,,,,,,,,,,,,
21-1201-00-1182441-1-1,2,1310201,34500,Polímero cristal líquido lcp - LAMINA DE ACRILICO (POR UNIDAD) Transparente TAMAÑO: 1.10 MT X 0.55 M X 3MM,UNIDAD/ PIEZA,"4,00","300,00","1.200,00",,,,"4,00","280,00","1.120,00",Contratado,,,,,,,,,,,,
21-1201-00-1182441-1-1,3,1310201,34500,Polímero cristal líquido lcp - LAMINA DE ACRILICO (POR UNIDAD) Transparente TAMAÑO: 0.70 MT X 0.60 M X 3MM,UNIDAD/ PIEZA,"7,00","200,00","1.400,00",,,,"7,00","190,00","1.330,00",Contratado,,,,,,,,,,,,
21-1201-00-1182441-1-1,4,1310201,34500,Polímero cristal líquido lcp - LAMINA DE ACRILICO (POR UNIDAD) Transparente TAMAÑO: 5.29 MT X 1.20 M X 3MM,UNIDAD/ PIEZA,"1,00","3.400,00","3.400,00",,,,"1,00","3.300,00","3.300,00",Contratado,,,,,,,,,,,,
21-1201-00-1182441-1-1,5,1310201,34500,Polímero cristal líquido lcp - LAMINA DE ACRILICO (POR UNIDAD) Transparente TAMAÑO: 0.80 MT X 0.60 M X 3MM,UNIDAD/ PIEZA,"1,00","210,00","210,00",,,,"1,00","200,00","200,00",Contratado,,,,,,,,,,,,
21-1201-00-1182441-1-1,6,1310201,34500,Polímero cristal líquido lcp - LAMINA DE ACRILICO (POR UNIDAD) Transparente TAMAÑO: 1.10 MT X 0.60 M X 3MM,UNIDAD/ PIEZA,"100,00","334,90","33.490,00",,,,"100,00","300,00","30.000,00",Contratado,,,,,,,,,,,,
21-1201-00-1182441-1-1,7,1310201,34500,Polímero cristal líquido lcp - LAMINA DE ACRILICO (POR UNIDAD) Transparente TAMAÑO: 5.68 MT X 1.20 M X 3MM,UNIDAD/ PIEZA,"1,00","3.600,00","3.600,00",,,,"1,00","3.500,00","3.500,00",Contratado,,,,,,,,,,,,
21-0046-20-1129058-1-1,1,5119230,34200,Cloruro crómico / sulfato cúprico / sulfato de manganeso / sulfato de zinc - 4 Zinc (Como sulfato),COMPRI MIDO,"40.000,0","0,73","29.200,00",SALUD Y NUTRICION S.R.L.,"0,59","23.600,00","40.000,00","0,59","23.600,00",Contratado,Cronograma 0,,,,,,,,,,,
21-0046-20-1129058-1-1,2,5140153,34200,Midazolam - 6 Midazolam,INYECTA BLE,"5.000,00","20,50","102.500,00",,,,,,,No se presentaron proponentes,Cronograma 0,,,,,,,,,,,
21-0046-20-1129058-1-1,3,4111561,34200,Medidores de oxígeno disuelto - 8 Humidificador para Oxígeno rosca metalica,PIEZA,"100,00","180,00","18.000,00",,,,,,,No se presentaron proponentes,Cronograma 0,,,,,,,,,,,
21-0046-20-1129058-1-1,4,4010160,34200,"Protectores o sus accesorios para ventiladores - 12 Set de tubos corrugados para ventilador Adulto (5 tubos corrugados, 2 trampas de agua, 1 conector en Y, 1 filtro antibacteriano, 1 camara de humidificación)",PIEZA,"100,00","620,00","62.000,00",,,,,,,No se presentaron proponentes,Cronograma 0,,,,,,,,,,,
21-0046-20-1129058-1-1,5,5119244,34200,Fluoruro / hierro / vitamina a / vitamina c / vitamina d - 1 Acido Ascosbico (Vitamina C),INYECTA BLE,"3.000,00","2,50","7.500,00",LABORATORIOS ALFA S.A.,"2,49","7.470,00","3.000,00","2,49","7.470,00",Contratado,Cronograma 0,,,,,,,,,,,
21-0046-20-1129058-1-1,6,5119244,34200,Fluoruro / hierro / vitamina a / vitamina c / vitamina d - 2 Ácido Ascórbico (Vitamina C),GOTAS ORALES,"800,00","20,02","16.016,00",LABORATORIOS ALFA S.A.,"19,99","15.992,00","800,00","19,99","15.992,00",Contratado,Cronograma 0,,,,,,,,,,,
21-0046-20-1129058-1-1,7,4213171,34200,Zapato quirúrgico - 14 Cubrecalzados,PIEZA,"10.000,0","1,20","12.000,00",DISPROMED SRL.,"1,00","10.000,00","10.000,00","1,00","10.000,00",Contratado,Cronograma 0,,,,,,,,,,,
21-0046-20-1129058-1-1,8,4213220,34200,Guantes de examen o para procedimientos no quirúrgicos - 11 Guantes de Nitrilo,PIEZA,"10.000,0","0,90","9.000,00",,,,,,,No se presentaron proponentes,Cronograma 0,,,,,,,,,,,
21-0901-00-1156075-1-1,1,1017170,34200,"Fungicidas - FUNGICIDA PREVENTIVO, CURATIVO Y ANTIESPORULANTE",FRASCO DE 250 ML,793.00,135.0,"107,055.00",MOROCHI ANCALLE OMAR,100.0,"79,300.00",793.0,100.0,"79,300.00",Contratado,Cronograma 0,,,,,,,,,,,
21-1201-00-1174460-1-1,1,5115200,34200,Atracurio - ATRACURIO BESILATO 10 MG/ML [M0301],INYECTA BLE,"3,125.00",16.0,"50,000.00",,,,"3,125.00",10.8,"33,750.00",Contratado,Cronograma 0,,,,,,,,,,,
21-0046-33-1155646-1-1,1,1216150,34200,Kits de reactivos - ELISA PARA IGG SARS-COV-2 CUALITATIVO,KIT,"1,00","3.700,00","3.700,00",,,,"1,00","3.700,00","3.700,00",Contratado,Cronograma 0,,,,,,,,,,,
21-0046-33-1155646-1-1,2,1216150,34200,Kits de reactivos - ELISA PARA IGG SARS-COV-2 CUANTITATIVO,KIT,"4,00","4.400,00","17.600,00",,,,"4,00","4.400,00","17.600,00",Contratado,Cronograma 0,,,,,,,,,,,
21-0513-00-1171906-1-1,1,4618200,33300,Máscaras o accesorios - MASCARAS FACIALES TIPO VISERA,PIEZA,120.0,12.00,"1,440.00",,,,120.0,12.00,"1,440.00",Contratado,Cronograma 0,,,,,,,,,,,
21-0513-00-1171906-1-1,2,4618200,33300,Máscaras o accesorios - MASCARA DE CARA COMPLETA,PIEZA,5.0,"1,500.00","7,500.00",,,,5.0,"1,500.00","7,500.00",Contratado,Cronograma 0,,,,,,,,,,,
21-0513-00-1171906-1-1,3,5312160,34500,Bolsos o carteras - MOCHILAS FUMIGADORAS,PIEZA,3.0,550.00,"1,650.00",,,,3.0,550.00,"1,650.00",Contratado,Cronograma 0,,,,,,,,,,,
21-0513-00-1171906-1-1,4,3910160,39700,Lámparas halógenas - LINTERNA MANUAL,PIEZA,2.0,60.00,120.00,,,,2.0,60.00,120.00,Contratado,Cronograma 0,,,,,,,,,,,
21-0513-00-1171906-1-1,5,5310210,33300,Overoles o monos para hombre - OVEROL DESCARTABLE DE TELA LAMINADA MICRO POROSA,PIEZA,100.0,50.00,"5,000.00",,,,100.0,50.00,"5,000.00",Contratado,Cronograma 0,,,,,,,,,,,
21-0513-00-1171906-1-1,6,4713170,34500,Dispensadores de productos sanitarios - DISPENSADOR AUTOMATICO DE ALCOHOL SISTEMA SPRAY,PIEZA,5.0,748.00,"3,740.00",,,,5.0,748.00,"3,740.00",Contratado,Cronograma 0,,,,,,,,,,,
21-0513-00-1171906-1-1,7,4618200,33300,Filtros o accesorios para máscaras o respiradores - FILTROS PARA VAPORES ORGANICOS Y ACIDOS (CLASE 1),PAR,10.0,155.00,"1,550.00",,,,10.0,155.00,"1,550.00",Contratado,Cronograma 0,,,,,,,,,,,
21-0513-00-1171906-1-1,8,5310250,33300,Guantes o mitones - GUANTES DE NITRILO,PAR,10.0,21.00,210.00,,,,10.0,21.00,210.00,Contratado,Cronograma 0,,,,,,,,,,,
21-0423-00-1149939-1-1,1,,,,,,,,,,,,,,,,GUZMAN DAGLISH ORLANDO ROBERTO ANTONIO,,,,,"17,800.00",23/07/2021,,,,
21-0382-00-1165625-1-1,1,1411150,32100,Papel para impresión de computadores - PAPEL BOND TAMAÑO CARTA  DE 75 GR (COLOR BLANCO),CAJAS,"250,00",,,FERNANDEZ ESPINOZA RUBEN JULIO,"240,00","60.000,00","250,00","240,00","60.000,00",Contratado,Cronograma 0,,,,,,,,,,,
21-0382-00-1165625-1-1,2,1411150,32100,Papel para impresión de computadores - PAPEL BOND TAMAÑO CARTA  DE 75 GR (COLOR CELESTE),PAQUET E,"26,00",,,FERNANDEZ ESPINOZA RUBEN JULIO,"40,00","1.040,00","26,00","40,00","1.040,00",Contratado,Cronograma 0,,,,,,,,,,,
21-0382-00-1165625-1-1,3,1411150,32100,Papel para impresión de computadores - PAPEL BOND TAMAÑO CARTA  DE 75 GR (COLOR AMARILLO),PAQUET E,"25,00",,,FERNANDEZ ESPINOZA RUBEN JULIO,"40,00","1.000,00","25,00","40,00","1.000,00",Contratado,Cronograma 0,,,,,,,,,,,
21-0382-00-1165625-1-1,4,1411150,32100,Papel para impresión de computadores - PAPEL BOND TAMAÑO CARTA  DE 75 GR (COLOR VERDE),PAQUET E,"25,00",,,FERNANDEZ ESPINOZA RUBEN JULIO,"40,00","1.000,00","25,00","40,00","1.000,00",Contratado,Cronograma 0,,,,,,,,,,,
21-1201-00-1183925-1-1,1,9010160,31140,Servicios de cáterin - SERVICIO DE ALIMENTACION PARA HOSPITAL LOS PINOS,SERVICI O,"1,00","49.991,00","49.991,00",,,,"1,00","49.991,00","49.991,00",Contratado,Cronograma 0,,,,,,,,,,,
21-0903-00-1149089-1-1,1,4229515,34200,Sala de partos o accesorios para la mesa de procedimiento de paciente de cesárea - Paquetes descartables para PVVS-COVID 19,Pieza,"151,00","330,06","49.839,06",,,,"151,00","320,00","48.320,00",Contratado,Cronograma 0,,,,,,,,,,,
21-0423-00-1136732-1-1,1,8544620,34200,El diagnóstico de los agentes de diagnóstico - CONTRASTE IODADO SEGUN DISPONIBILIDAD,INYECTA BLE,"208,00","240,00","49.920,00",,,,"208,00","240,00","49.920,00",Contratado,Cronograma 0,,,,,,,,,,,
21-0513-00-1161996-1-1,1,8512180,25120,Servicios de laboratorios de análisis de sangre - CONTRATACION DE SERVICIO DE PRUEBAS ESPECIALES PARA COVID- 19,PRUEBA,"235,00","390,00","91.650,00",LIENDO LIZARAZU ZULMA,"315,00","74.025,00","235,00","315,00","74.025,00",Contratado,Cronograma 0,,,,,,,,,,,
21-0142-00-1156230-1-2,1,4111620,34200,Kits de pruebas rápidas - PRUEBAS DE INMUNOENSAYO CROMATOGRAFICO RAPIDO PARA DETECCION CUALITATIVA DE ANTIGENOS DEL SARS- COV-2,CAJAS,"120,00","1.500,00","180.000,00",INSUMOS DE VIDA S.R.L.,"650,00","78.000,00","120,00","650,00","78.000,00",Contratado,Cronograma 0,,,,,,,,,,,
21-0903-00-1156589-1-1,1,8516150,24120,Mantenimiento o reparación de equipo médico menor - MANTENIMIENTO EQUIPOS B. BRAUN,GLOBAL,1.0,"10,435.00","10,435.00",,,,1.0,"10,435.00","10,435.00",Contratado,Cronograma 0,,,,,,,,,,,
21-0903-00-1156589-1-1,2,8516150,24120,Mantenimiento o reparación de equipo médico menor - MANTENIMIENTO PREVENTIVO BOMBAS DE INFUSION DE JERINGA ARGUS,GLOBAL,1.0,"14,400.00","14,400.00",,,,1.0,"14,400.00","14,400.00",Contratado,Cronograma 0,,,,,,,,,,,
21-0903-00-1156589-1-1,3,8516150,24120,Mantenimiento o reparación de equipo médico menor - MANTENIMIENTO PREVENTIVO VENTILADOR DRAGER SAVINA,GLOBAL,1.0,"12,200.00","12,200.00",,,,1.0,"12,200.00","12,200.00",Contratado,Cronograma 0,,,,,,,,,,,
21-0903-00-1156589-1-1,4,8516150,24120,Mantenimiento o reparación de equipo médico menor - MANTENIMIENTO PREVENTIVO DESFIBRILADOR NIHON KOHDEN,GLOBAL,1.0,"2,285.00","2,285.00",,,,1.0,"2,285.00","2,285.00",Contratado,Cronograma 0,,,,,,,,,,,
21-1201-00-1178772-1-1,1,4229350,39400,Sondas de drenaje de succión para uso quirúrgico - SONDA DE ASPIRACION DE CIRCUITO CERRADO 14 FR,PIEZA,200.0,140.0,"28,000.00",,,,200.0,140.0,"28,000.00",Contratado,Cronograma 0,,,,,,,,,,,
21-1201-00-1178772-1-1,2,4229350,39400,Sondas de drenaje de succión para uso quirúrgico - SONDA DE ASPIRACION DE CIRCUITO CERRADO 7 FR,PIEZA,50.0,170.0,"8,500.00",,,,50.0,170.0,"8,500.00",Contratado,Cronograma 0,,,,,,,,,,,
21-1801-00-1125864-1-1,1,9010000,31150,SERVICIO DE ALIMENTACION ALMUERZO,RACIONE S,"900,00","16,00","14.400,00",,,,"423,00","15,90","6.725,70",Contratado,Cronograma 0,,,,,,,,,,,
21-1801-00-1125864-1-1,2,9010000,31150,SERVICIO DE ALIMENTACION DESAYUNO,RACIONE S,"900,00","11,00","9.900,00",,,,"423,00","10,90","4.610,70",Contratado,Cronograma 0,,,,,,,,,,,
21-1801-00-1125864-1-1,3,9010000,31150,SERVICIO DE ALIMENTACION CENA,RACIONE S,"900,00","12,00","10.800,00",,,,"431,00","10,90","4.697,90",Contratado,Cronograma 0,,,,,,,,,,,
